所管課,学校コード,学校種,都道府県番号,設置区分,設置者情報,本分校,本校学校コード,本校学校名,学校名,学校名カナ表記,学校略称,学校所在地（市区町村）,学校所在地（町字）,学校所在地（番地以下）,郵便番号,緯度,経度,連絡先名称,連絡先電話番号,属性情報設定年月日,属性情報廃止年月日,旧学校調査番号,移行後の学校コード
教育総務課,2711,小学校,37,公立,三豊市,本校,2711,三豊市立上高瀬小学校,三豊市立上高瀬小学校,ミトヨシリツカミタカセショウガッコウ,上高瀬小学校,三豊市,高瀬町,上高瀬783番地2,7670001,34.192495,133.726033,三豊市立上高瀬小学校,(0875)72-5309,,,,
教育総務課,2712,小学校,37,公立,三豊市,本校,2712,三豊市立勝間小学校,三豊市立勝間小学校,ミトヨシリツカツマショウガッコウ,勝間小学校,三豊市,高瀬町,下勝間803番地1,7670011,34.174370,133.725878,三豊市立勝間小学校,(0875)72-5329,,,,
教育総務課,2713,小学校,37,公立,三豊市,本校,2713,三豊市立比地小学校,三豊市立比地小学校,ミトヨシリツヒジショウガッコウ,比地小学校,三豊市,高瀬町,比地93番地1,7670004,34.179464,133.694014,三豊市立比地小学校,(0875)72-5213,,,,
教育総務課,2714,小学校,37,公立,三豊市,本校,2714,三豊市立二ノ宮小学校,三豊市立二ノ宮小学校,ミトヨシリツニノミヤショウガッコウ,二ノ宮小学校,三豊市,高瀬町,佐股甲1497番地1,7670021,34.159193,133.741284,三豊市立二ノ宮小学校,(0875)74-6302,,,,
教育総務課,2715,小学校,37,公立,三豊市,本校,2715,三豊市立麻小学校,三豊市立麻小学校,ミトヨシリツアサショウガッコウ,麻小学校,三豊市,高瀬町,上麻3868番地,7670014,34.176206,133.768109,三豊市立麻小学校,(0875)74-6237,,,,
教育総務課,2725,小学校,37,公立,三豊市,本校,2725,三豊市立山本小学校,三豊市立山本小学校,ミトヨシリツヤマモトショウガッコウ,山本小学校,三豊市,山本町,大野6番地1,7680102,34.122286,133.733557,三豊市立山本小学校,(0875)63-8100,,,,
教育総務課,2731,小学校,37,公立,三豊市,本校,2731,三豊市立大見小学校,三豊市立大見小学校,ミトヨシリツオオミショウガッコウ,大見小学校,三豊市,三野町,大見甲3034番地4,7670031,34.216787,133.714899,三豊市立大見小学校,(0875)72-5402,,,,
教育総務課,2732,小学校,37,公立,三豊市,本校,2732,三豊市立下高瀬小学校,三豊市立下高瀬小学校,ミトヨシリツシモタカセショウガッコウ,下高瀬小学校,三豊市,三野町,下高瀬760番地1,7670032,34.203300,133.703360,三豊市立下高瀬小学校,(0875)72-5401,,,,
教育総務課,2733,小学校,37,公立,三豊市,本校,2733,三豊市立吉津小学校,三豊市立吉津小学校,ミトヨシリツヨシヅショウガッコウ,吉津小学校,三豊市,三野町,吉津乙1485番地1,7670033,34.201632,133.683400,三豊市立吉津小学校,(0875)72-5676,,,,
教育総務課,2751,小学校,37,公立,三豊市,本校,2751,三豊市立桑山小学校,三豊市立桑山小学校,ミトヨシリツクワヤマショウガッコウ,桑山小学校,三豊市,豊中町,岡本188番地1,7691507,34.153759,133.681829,三豊市立桑山小学校,(0875)62-2103,,,,
教育総務課,2752,小学校,37,公立,三豊市,本校,2752,三豊市立比地大小学校,三豊市立比地大小学校,ミトヨシリツヒジダイショウガッコウ,比地大小学校,三豊市,豊中町,比地大2514番地1,7691501,34.167388,133.688952,三豊市立比地大小学校,(0875)62-2124,,,,
教育総務課,2753,小学校,37,公立,三豊市,本校,2753,三豊市立笠田小学校,三豊市立笠田小学校,ミトヨシリツカサダショウガッコウ,笠田小学校,三豊市,豊中町,笠田笠岡2192番地1,7691502,34.157930,133.707082,三豊市立笠田小学校,(0875)62-2004,,,,
教育総務課,2754,小学校,37,公立,三豊市,本校,2754,三豊市立上高野小学校,三豊市立上高野小学校,ミトヨシリツカミタカノショウガッコウ,上高野小学校,三豊市,豊中町,上高野2384番地,7691504,34.144105,133.707017,三豊市立上高野小学校,(0875)62-2064,,,,
教育総務課,2755,小学校,37,公立,三豊市,本校,2755,三豊市立本山小学校,三豊市立本山小学校,ミトヨシリツモトヤマショウガッコウ,本山小学校,三豊市,豊中町,本山甲1893番地1,7691506,34.140500,133.699737,三豊市立本山小学校,(0875)62-2125,,,,
教育総務課,2761,小学校,37,公立,三豊市,本校,2761,三豊市立松崎小学校,三豊市立松崎小学校,ミトヨシリツマツサキショウガッコウ,松崎小学校,三豊市,詫間町,松崎722番地,7691102,34.220429,133.694087,三豊市立松崎小学校,(0875)83-2856,,,,
教育総務課,2762,小学校,37,公立,三豊市,本校,2762,三豊市立詫間小学校,三豊市立詫間小学校,ミトヨシリツタクマショウガッコウ,詫間小学校,三豊市,詫間町,詫間2158番地,7691101,34.224892,133.667200,三豊市立詫間小学校,(0875)83-2858,,,,
教育総務課,2771,小学校,37,公立,三豊市,本校,2771,三豊市立仁尾小学校,三豊市立仁尾小学校,ミトヨシリツニオショウガッコウ,仁尾小学校,三豊市,仁尾町,仁尾丙1736番地,7691403,34.202931,133.651882,三豊市立仁尾小学校,(0875)82-2049,,,,
教育総務課,2772,小学校,37,公立,三豊市,本校,2772,三豊市立曽保小学校,三豊市立曽保小学校,ミトヨシリツソホショウガッコウ,曽保小学校,三豊市,仁尾町,仁尾甲1082番地,7691408,34.174107,133.650872,三豊市立曽保小学校,(0875)82-2135,,,,
教育総務課,2793,小学校,37,公立,三豊市,本校,2793,三豊市立財田小学校,三豊市立財田小学校,ミトヨシリツサイタショウガッコウ,財田小学校,三豊市,財田町,財田中5325番地1,7690402,34.117103,133.770025,三豊市立財田小学校,(0875)67-0200,,,,
教育総務課,5211,中学校,37,公立,三豊市,本校,5211,三豊市立高瀬中学校,三豊市立高瀬中学校,ミトヨシリツタカセチュウガッコウ,高瀬中学校,三豊市,高瀬町,下勝間2725番地1,7670011,34.179642,133.720833,三豊市立高瀬中学校,(0875)72-3161,,,,
教育総務課,5221,中学校,37,公立,三豊市観音寺市学校組合,本校,5221,三豊市観音寺市学校組合立三豊中学校,三豊市観音寺市学校組合立三豊中学校,ミトヨシカンオンジシガッコウクミアイリツミトヨチュウガッコウ,三豊中学校,三豊市,山本町,辻876番地,7680101,34.123053,133.713129,三豊市観音寺市学校組合立三豊中学校,(0875)63-3028,,,,
教育総務課,5231,中学校,37,公立,三豊市,本校,5231,三豊市立三野津中学校,三豊市立三野津中学校,ミトヨシリツミノツチュウガッコウ,三野津中学校,三豊市,三野町,下高瀬720番地,7670032,34.205387,133.700720,三豊市立三野津中学校,(0875)72-5209,,,,
教育総務課,5251,中学校,37,公立,三豊市,本校,5251,三豊市立豊中中学校,三豊市立豊中中学校,ミトヨシリツトヨナカチュウガッコウ,豊中中学校,三豊市,豊中町,本山甲148番地1,7691506,34.146477,133.696498,三豊市立豊中中学校,(0875)62-2071,,,,
教育総務課,5261,中学校,37,公立,三豊市,本校,5261,三豊市立詫間中学校,三豊市立詫間中学校,ミトヨシリツタクマチュウガッコウ,詫間中学校,三豊市,詫間町,詫間5796番地1,7691101,34.233210,133.657892,三豊市立詫間中学校,(0875)83-2108,,,,
教育総務課,5271,中学校,37,公立,三豊市,本校,5271,三豊市立仁尾中学校,三豊市立仁尾中学校,ミトヨシリツニオチュウガッコウ,仁尾中学校,三豊市,仁尾町,仁尾辛38番地2,7691406,34.195446,133.646274,三豊市立仁尾中学校,(0875)82-2119,,,,
教育総務課,5291,中学校,37,公立,三豊市,本校,5291,三豊市立和光中学校,三豊市立和光中学校,ミトヨシリツワコウチュウガッコウ,和光中学校,三豊市,財田町,財田上2790番地,7690401,34.124547,133.778580,三豊市立和光中学校,(0875)67-2012,,,,
