全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,種別,町字ID,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等（方書）,緯度,経度,高度の種別,高度の値,アクセス情報,駐車場情報,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,子供預かり料金種別,子供預かり料金,子供預かり料金備考,子供預かり開所時間,子供預かり閉所時間,病児保育の有無,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像ライセンス,備考
372081,1000050001,香川県三豊市,財田こども園,サイタコドモエン,Saita Children's Center,認定こども園（幼保連携型）,0001,香川県,三豊市,財田町財田上,1417-1,財田こども園,34.11846038,133.7774522,,,,,(0875)67-2160,,(0875)67-2511,,,,7690401,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050002,香川県三豊市,財田放課後児童クラブ,サイタホウカゴジドウクラブ,Saita after-school activity,,0001,香川県,三豊市,財田町財田上,2361-1,,34.11652087,133.7715638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050003,香川県三豊市,麻放課後児童クラブ,アサホウカゴジドウクラブ,Asa after-school activity,,0003,香川県,三豊市,高瀬町上麻,3868,,34.1763138,133.7680266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050004,香川県三豊市,麻幼稚園,アサヨウチエン,Asa Kindergarten,公立幼稚園,0003,香川県,三豊市,高瀬町上麻,3865,麻幼稚園,34.17559553,133.7683808,,,,,(0875)74-6016,,(0875)74-6005,,,,7670014,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050005,香川県三豊市,上高瀬放課後児童クラブ,カミタカセホウカゴジドウクラブ,Kamitakase after-school activity,,0005,香川県,三豊市,高瀬町上高瀬,783-2,,34.19249502,133.7260336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050006,香川県三豊市,上高瀬幼稚園,カミタカセヨウチエン,Kamitakase Kindergarten,公立幼稚園,0005,香川県,三豊市,高瀬町上高瀬,785-1,上高瀬幼稚園,34.1922887,133.7254263,,,,,(0875)72-4925,,(0875)72-4929,,,,7670001,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050007,香川県三豊市,白井病院内託児所,シライビョウインナイタクジショ,,認可外保育所,0005,香川県,三豊市,高瀬町上高瀬,1339,白井病院内託児所,34.18761429,133.7180853,,,,,(0875)72-3131,,(0875)72-3134,,,,7670001,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050008,香川県三豊市,スマはぴ 丘の上station,スマハピ オカノウエステーション,,認定こども園（幼保連携型）,0005,香川県,三豊市,高瀬町上高瀬,2024-2,幼保連携型認定こども園 スマはぴ丘の上station,34.185308,133.7294095,,,,,(0875)72-0083,,(0875)72-0087,,,,7670001,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050009,香川県三豊市,二ノ宮放課後児童クラブ,ニノミヤホウカゴジドウクラブ,Ninomiya after-school activity,,0006,香川県,三豊市,高瀬町佐股,甲3343-4,,34.16012156,133.738346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050010,香川県三豊市,二ノ宮幼稚園,ニノミヤヨウチエン,Ninomiya Kindergarten,公立幼稚園,0006,香川県,三豊市,高瀬町佐股,甲1508-1,二ノ宮幼稚園,34.15821921,133.7414638,,,,,(0875)74-6333,,(0875)74-6420,,,,7670021,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050011,香川県三豊市,高瀬南部保育所,タカセナンブホイクショ,Takase Nanbu Nursery School,認可公立保育所,0007,香川県,三豊市,高瀬町下麻,653-2,高瀬南部保育所,34.17176402,133.7476468,,,,,(0875)74-6232,,(0875)74-6232,,,,7670013,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050012,香川県三豊市,勝間放課後児童クラブ,カツマホウカゴジドウクラブ,Katsuma after-school activity,,0008,香川県,三豊市,高瀬町下勝間,350-2,,34.17500811,133.726722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050013,香川県三豊市,勝間幼稚園,カツマヨウチエン,Katsuma Kindergarten,公立幼稚園,0008,香川県,三豊市,高瀬町下勝間,348-1,勝間幼稚園,34.17522044,133.7261058,,,,,(0875)72-2507,,(0875)72-2724,,,,7670011,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050014,香川県三豊市,スマはぴ保育園 茶々station,スマハピホイクエン チャチャステーション,,認可私立保育所,0008,香川県,三豊市,高瀬町下勝間,131-1,スマはぴ保育園 茶々station,34.17983707,133.7232848,,,,,(0875)24-8131,,,,,,7670011,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050015,香川県三豊市,高瀬中央保育所,タカセチュウオウホイクショ,Takase Central Nursery School,認可公立保育所,0009,香川県,三豊市,高瀬町新名,797-1,高瀬中央保育所,34.18046297,133.7105903,,,,,(0875)72-5986,,(0875)72-3543,,,,7670002,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050016,香川県三豊市,小規模保育園 おひさまランド,ショウキボホイクエン オヒサマランド,,認可私立保育所,0010,香川県,三豊市,高瀬町羽方,349-1,小規模保育園 おひさまランド,34.13734573,133.7210854,,,,,(0875)23-7336,,,,,,7670022,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050017,香川県三豊市,虹ヲわたり,ニジヲワタリ,,認定こども園（幼保連携型）,0011,香川県,三豊市,高瀬町比地,181-1,幼保連携型認定こども園 虹ヲわたり,34.1785228,133.6937238,,,,,(0875)23-6690,,,,,,7670004,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050018,香川県三豊市,比地二放課後児童クラブ,ヒジフタホウカゴジドウクラブ,Hijifuta after-school activity,,0011,香川県,三豊市,高瀬町比地,93-1,,34.17893618,133.6939649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050019,香川県三豊市,比地二幼稚園,ヒジフタヨウチエン,Hijifuta Kindergarten,公立幼稚園,0011,香川県,三豊市,高瀬町比地,65,比地二幼稚園,34.18042963,133.693358,,,,,(0875)72-4926,,(0875)72-5010,,,,7670004,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050020,香川県三豊市,西香川病院院内保育所 さくらんぼ保育所,ニシカガワビョウインインナイホイクショ サクランボホイクショ,,認可外保育所,0012,香川県,三豊市,高瀬町比地中,2986-3,西香川病院院内保育所 さくらんぼ保育所,34.17408811,133.7022886,,,,,(0875)72-5121,,,,,,7670003,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050021,香川県三豊市,三豊市高瀬町前田児童館,ミトヨシタカセチョウマエダジドウカン,,,0012,香川県,三豊市,高瀬町比地中,1852,,34.18224305,133.7040923,,,JR高瀬駅から徒歩約１５分,,(0875)72-5594,,(0875)72-5594,,,,7670003,,,,,,月火水木金,8:30,17:00,祝日はお休み。また、12/29~1/3は終日お休み。,,無料,,,,,,,,,,,,,,
372081,1000050022,香川県三豊市,うらしまキッズ詫間,ウラシマキッズタクマ,Takuma after-school activity,,0017,香川県,三豊市,詫間町詫間,2158,,34.22489205,133.6672007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050023,香川県三豊市,須田保育所,スダホイクショ,Suda Nursery School,認可公立保育所,0017,香川県,三豊市,詫間町詫間,5798,須田保育所,34.23390713,133.6569014,,,,,(0875)83-3037,,(0875)83-3037,,,,7691101,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050024,香川県三豊市,詫間保育所,タクマホイクショ,Takuma Nursery School,認可公立保育所,0017,香川県,三豊市,詫間町詫間,2024-2,詫間保育所,34.22127676,133.669354,,,,,(0875)83-2143,,(0875)83-2143,,,,7691101,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050025,香川県三豊市,詫間幼稚園,タクマヨウチエン,Takuma Kindergarten,公立幼稚園,0017,香川県,三豊市,詫間町詫間,3500-5,詫間幼稚園,34.22562475,133.666411,,,,,(0875)83-2569,,(0875)83-2569,,,,7691101,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050026,香川県三豊市,うらしまキッズ松崎,ウラシマキッズマツサキ,Matsusaki after-school activity,,0021,香川県,三豊市,詫間町松崎,722,,34.22042922,133.6940873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050027,香川県三豊市,松崎保育所,マツサキホイクショ,Matsusaki Nursery School,認可公立保育所,0021,香川県,三豊市,詫間町松崎,2780-445,松崎保育所,34.22232924,133.689421,,,,,(0875)83-2115,,(0875)83-2115,,,,7691102,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050028,香川県三豊市,松崎幼稚園,マツサキヨウチエン,Matsusaki Kindergarten,公立幼稚園,0021,香川県,三豊市,詫間町松崎,424-1,松崎幼稚園,34.21725509,133.6928669,,,,,(0875)83-3205,,(0875)83-3205,,,,7691102,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050029,香川県三豊市,桑山放課後児童クラブ,クワヤマホウカゴジドウクラブ,Kuwayama after-school activity,,0022,香川県,三豊市,豊中町岡本,188-1,,34.15375915,133.6818296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050030,香川県三豊市,めみか保育園,メミカホイクエン,,認可私立保育所,0022,香川県,三豊市,豊中町岡本,324-1,めみか保育園,34.15135158,133.6850893,,,,,(0875)23-6911,,,,,,7691507,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050031,香川県三豊市,笠田放課後児童クラブ,カサダホウカゴジドウクラブ,Kasada after-school activity,,0023,香川県,三豊市,豊中町笠田笠岡,2193-2,,34.15779322,133.7078659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050032,香川県三豊市,上高野放課後児童クラブ,カミタカノホウカゴジドウクラブ,Kamitakano after-school activity,,0025,香川県,三豊市,豊中町上高野,2662-1,,34.14316603,133.7102574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050033,香川県三豊市,豊中幼稚園,トヨナカヨウチエン,Toyonaka Kindergarten,公立幼稚園,0025,香川県,三豊市,豊中町上高野,4025-1,豊中幼稚園,34.15037557,133.6962761,,,,,(0875)56-6913,,(0875)56-6914,,,,7691504,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050034,香川県三豊市,三豊市豊中町上高野児童館,ミトヨシトヨナカチョウカミタカノジドウカン,,,0025,香川県,三豊市,豊中町上高野,2573-1,,34.14345896,133.7087091,,,JR本山駅から徒歩約３０分,,(0875)62-5463,,(0875)62-5463,,,,7691504,,,,,,月火水木金,8:30,17:00,祝日はお休み。また、12/29~1/3は終日お休み。,,無料,,,,,,,,,,,,,,
372081,1000050035,香川県三豊市,比地大放課後児童クラブ,ヒジダイホウカゴジドウクラブ,Hijidai after-school activity,,0027,香川県,三豊市,豊中町比地大,2527-1,,34.16772275,133.688279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050036,香川県三豊市,事業所内保育施設 ちぬやキッズ,ジギョウショナイホイクシセツ チヌヤキッズ,,認可外保育所,0028,香川県,三豊市,豊中町本山乙,653-1,事業所内保育施設 ちぬやキッズ(株式会社味のちぬや),34.13383031,133.7061431,,,,,(0875)62-5221,,,,,,7691505,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050037,香川県三豊市,豊中保育所,トヨナカホイクショ,Toyonaka Nursery School,認可公立保育所,0029,香川県,三豊市,豊中町本山甲,2256-1,豊中保育所,34.15060424,133.6951003,,,,,(0875)62-2010,,(0875)62-2010,,,,7691506,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050038,香川県三豊市,三豊市豊中町児童館,ミトヨシトヨナカチョウジドウカン,Toyonaka Children's Center,,0029,香川県,三豊市,豊中町本山甲,236,,34.14743782,133.6937053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050039,香川県三豊市,本山放課後児童クラブ,モトヤマホウカゴジドウクラブ,Motoyama after-school activity,,0029,香川県,三豊市,豊中町本山甲,1893-1,,34.14018131,133.6996778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050040,香川県三豊市,曽保幼稚園,ソホヨウチエン,Soho Kindergarten,公立幼稚園,0031,香川県,三豊市,仁尾町仁尾,甲1090-1,曽保幼稚園,34.1736487,133.6503265,,,,,(0875)82-3517,,(0875)82-3517,,,,7691403,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050041,香川県三豊市,仁尾こども園,ニオコドモエン,Nio Children's Center,認定こども園（幼保連携型）,0031,香川県,三豊市,仁尾町仁尾,丁636-1,仁尾こども園,34.20403776,133.6502872,,,,,(0875)82-3292,,(0875)82-3867,,,,7691407,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050042,香川県三豊市,仁尾放課後児童クラブ,ニオホウカゴジドウクラブ,Nio after-school activity,,0031,香川県,三豊市,仁尾町仁尾,丙1736,,34.20293156,133.6518823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050043,香川県三豊市,三豊市仁尾町児童館,ミトヨシニオチョウジドウカン,Nio Children's Center,,0031,香川県,三豊市,仁尾町仁尾,辛34-3,,34.19747106,133.6452597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050044,香川県三豊市,大見放課後児童クラブ,オオミホウカゴジドウクラブ,Oomi after-school activity,,0032,香川県,三豊市,三野町大見,甲3034-4,,34.21678734,133.7148997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050045,香川県三豊市,大見幼稚園,オオミヨウチエン,Oomi Kindergarten,公立幼稚園,0032,香川県,三豊市,三野町大見,甲3478-1,大見幼稚園,34.21629229,133.7137389,,,,,(0875)72-2508,,(0875)72-2508,,,,7670031,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050046,香川県三豊市,三野保育所,ミノホイクショ,Mino Nursery School,認可公立保育所,0032,香川県,三豊市,三野町大見,甲3864-1,三野保育所,34.2103466,133.7148395,,,,,(0875)72-5343,,(0875)72-5352,,,,7670031,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050047,香川県三豊市,下高瀬放課後児童クラブ,シモタカセホウカゴジドウクラブ,Shimotakase after-school activity,,0033,香川県,三豊市,三野町下高瀬,1526-2,,34.20645912,133.7003804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050048,香川県三豊市,下高瀬幼稚園,シモタカセヨウチエン,Shimotakase Kindergarten,公立幼稚園,0033,香川県,三豊市,三野町下高瀬,764,下高瀬幼稚園,34.20242958,133.7043421,,,,,(0875)72-2509,,(0875)72-2509,,,,7670032,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050049,香川県三豊市,小規模保育園 ひまわり,ショウキボホイクエン ヒマワリ,,認可私立保育所,0033,香川県,三豊市,三野町下高瀬,1541-1,小規模保育園 ひまわり,34.20708513,133.7002857,,,,,(0875)73-4635,,,,,,7670032,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050050,香川県三豊市,スマはぴ保育園 空と海station,スマハピホイクエン ソラトウミステーション,,認可私立保育所,0033,香川県,三豊市,三野町下高瀬,1285-2,スマはぴ保育園 空と海station,34.21099788,133.6902787,,,,,(0875)24-8105,,,,,,7670032,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050051,香川県三豊市,吉津放課後児童クラブ,ヨシヅホウカゴジドウクラブ,Yoshidu after-school activity,,0034,香川県,三豊市,三野町吉津,乙1485-1,,34.20163297,133.6834007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050052,香川県三豊市,吉津幼稚園,ヨシヅヨウチエン,Yoshidu Kindergarten,公立幼稚園,0034,香川県,三豊市,三野町吉津,乙1485-1,吉津幼稚園,34.20163297,133.6834007,,,,,(0875)72-2506,,(0875)72-2506,,,,7670033,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050053,香川県三豊市,うりぼうキッズ山本,ウリボウキッズヤマモト,Yamamoto after-school activity,,0035,香川県,三豊市,山本町大野,6-1,,34.12194663,133.7340495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050054,香川県三豊市,山本保育所,ヤマモトホイクショ,Yamamoto Nursery School,認可公立保育所,0035,香川県,三豊市,山本町大野,455-2,山本保育所,34.12447558,133.7271729,,,,,(0875)63-3019,,(0875)63-3020,,,,7680102,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050055,香川県三豊市,山本幼稚園,ヤマモトヨウチエン,Yamamoto Kindergarten,認定こども園（幼稚園型）,0035,香川県,三豊市,山本町大野,423,山本幼稚園,34.12369667,133.7273736,,,,,(0875)63-3555,,(0875)63-3561,,,,7680102,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050056,香川県三豊市,橋本病院,ハシモトビョウイン,,認可外保育所,0038,香川県,三豊市,山本町財田西,902-1,橋本病院,34.11741185,133.7357473,,,,,(0875)63-3311,,(0875)63-2651,,,,7680103,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050057,香川県三豊市,愛幸こども園,アイコウコドモエン,,認可外保育所,0039,香川県,三豊市,山本町辻,585,愛幸こども園(特別養護老人ホーム「優楽荘」内),34.11915988,133.7205036,,,,,(0875)63-1088,,,,,,7680101,,,,,,,,,,,,,,,,,,,,,,,,,
372081,1000050058,香川県三豊市,小規模保育園 つぼみ,ショウキボホイクエン ツボミ,,認可私立保育所,,香川県,三豊市,豊中町本山甲,667-5,小規模保育園 つぼみ,34.14764543,133.6894962,,,,,(0875)23-7235,,,,,,7691506,,,,,,,,,,,,,,,,,,,,,,,,,
