NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,想定収容人数計算方法,対象となる町会・自治会,URL,備考
1,昭和小学校,ショウワショウガッコウ,香川県綾歌郡綾川町畑田2373-1,,34.24732499,133.9793125,78.2,087-877-0519,,373877,香川県,綾川町,1,1,,1,,1,1,,1,480,(3.3㎡/2人),制限なし,なし,
2,子育て支援施設きらり,コソダテシエンシセツキラリ,香川県綾歌郡綾川町畑田671-8,,34.26297457,133.9804385,62.3,087-877-2320,,373877,香川県,綾川町,1,1,,1,,1,1,,,70,(3.3㎡/2人),制限なし,なし,
3,昭和こども園,ショウワコドモエン,香川県綾歌郡綾川町畑田2422-1,,34.24890657,133.978031,72.4,087-877-1391,,373877,香川県,綾川町,1,1,,1,,1,1,,,50,(3.3㎡/2人),制限なし,なし,
4,昭和公民館,ショウワコウミンカン,香川県綾歌郡綾川町畑田2390-8,,34.24718051,133.9782567,74.4,087-877-1536,,373877,香川県,綾川町,1,1,,1,,1,1,,1,170,(3.3㎡/2人),制限なし,なし,
5,綾南中学校,リョウナンチュウガッコウ,香川県綾歌郡綾川町陶5593-1,,34.2475456,133.9460926,51.3,087-876-1187,,373877,香川県,綾川町,1,1,,1,,1,1,,1,780,(3.3㎡/2人),制限なし,なし,
6,陶小学校,スエショウガッコウ,香川県綾歌郡綾川町陶5878-1,,34.25367211,133.9512269,52.8,087-876-1182,,373877,香川県,綾川町,1,1,,1,,1,1,,1,380,(3.3㎡/2人),制限なし,なし,
7,陶こども園,スエコドモエン,香川県綾歌郡綾川町陶2087-1,,34.25844055,133.9490213,54.7,087-876-1777,,373877,香川県,綾川町,1,1,,1,,1,1,,,100,(3.3㎡/2人),制限なし,なし,
8,陶公民館,スエコウミンカン,香川県綾歌郡綾川町陶5866-1,,34.25283156,133.9500508,51.8,087-876-2553,,373877,香川県,綾川町,1,1,,1,,1,1,,1,240,(3.3㎡/2人),制限なし,なし,
9,国保総合保健施設えがお,コクホソウゴウホケンシセツエガオ,香川県綾歌郡綾川町陶1720-1,,34.25971827,133.9434304,60.5,087-876-2525,,373877,香川県,綾川町,1,1,,1,,1,1,,1,150,(3.3㎡/2人),制限なし,なし,
10,総合運動公園(体育館),ソウゴウウンドウコウエンタイイクカン,香川県綾歌郡綾川町陶1536-1,,34.26509003,133.9504349,80,087-876-3580,,373877,香川県,綾川町,1,1,,1,,1,1,,,750,(3.3㎡/2人),制限なし,なし,
11,滝宮小学校,タキノミヤショウガッコウ,香川県綾歌郡綾川町滝宮1095-1,,34.24540956,133.9229287,50.8,087-876-1183,,373877,香川県,綾川町,1,1,,1,,1,1,,1,400,(3.3㎡/2人),制限なし,なし,
12,滝宮こども園,タキノミヤコドモエン,香川県綾歌郡綾川町滝宮528,,34.24784512,133.9300464,44,087-876-1776,,373877,香川県,綾川町,1,1,,1,,1,1,,,60,(3.3㎡/2人),制限なし,なし,
13,滝宮公民館,タキノミヤコウミンカン,香川県綾歌郡綾川町滝宮297-6,,34.25002276,133.9216335,43.7,087-876-1931,,373877,香川県,綾川町,1,1,,1,,1,1,,1,130,(3.3㎡/2人),制限なし,なし,
14,梅の里社会福祉センター,ウメノサトシャカイフクシセンター,香川県綾歌郡綾川町滝宮276,,34.24992303,133.9210354,43.5,087-876-4221,,373877,香川県,綾川町,1,1,,1,,1,1,,,30,(3.3㎡/2人),制限なし,なし,
15,綾南農村環境改善センター,リョウナンノウソンカンキョウカイゼンセンター,香川県綾歌郡綾川町滝宮299,,34.24925916,133.9231817,40.9,087-876-5282,,373877,香川県,綾川町,1,1,,1,,1,1,,1,180,(3.3㎡/2人),制限なし,なし,
16,道の駅「滝宮」,ミチノエキタキノミヤ,香川県綾歌郡綾川町滝宮1578,,34.25013718,133.9168964,42.5,087-876-5018,,373877,香川県,綾川町,1,1,,1,,1,1,,,50,(3.3㎡/2人),制限なし,なし,
17,農業経営高等学校,ノウギョウケイエイコウコウ,香川県綾歌郡綾川町北1023-1,,34.23723585,133.9296513,68.3,087-876-1161,,373877,香川県,綾川町,1,1,,1,,1,1,,,590,(3.3㎡/2人),制限なし,なし,
18,羽床小学校,ハユカショウガッコウ,香川県綾歌郡綾川町羽床下2256,,34.23543197,133.905635,43.1,087-876-1184,,373877,香川県,綾川町,1,1,,1,,1,1,,1,360,(3.3㎡/2人),制限なし,なし,
19,羽床こども園,ハユカコドモエン,香川県綾歌郡綾川町羽床下2257-1,,34.23444441,133.9051959,44.1,087-876-1775,,373877,香川県,綾川町,1,1,,1,,1,1,,,70,(3.3㎡/2人),制限なし,なし,
20,羽床公民館,ハユカコウミンカン,香川県綾歌郡綾川町羽床下2259-2,,34.23450207,133.90574,44.9,087-876-0120,,373877,香川県,綾川町,1,1,,1,,1,1,,1,90,(3.3㎡/2人),制限なし,なし,
21,旧枌所小学校,キュウソギショショウガッコウ,香川県綾歌郡綾川町枌所西甲2060,,34.19745618,133.9949447,114.7,087-876-1180,,373877,香川県,綾川町,1,1,,1,,1,1,,1,300,(3.3㎡/2人),制限なし,なし,
22,枌所幼稚園,ソギショヨウチエン,香川県綾歌郡綾川町枌所西甲2063-4,,34.19752274,133.9961208,114.4,087-878-0783,,373877,香川県,綾川町,1,1,,1,,1,1,,,50,(3.3㎡/2人),制限なし,なし,
23,枌所公民館,ソギショコウミンカン,香川県綾歌郡綾川町枌所西甲2087-1,,34.19780809,133.994773,113.9,087-878-2914,,373877,香川県,綾川町,1,1,,1,,1,1,,1,60,(3.3㎡/2人),制限なし,なし,
24,西分南部公民館,ニシブンナンブコウミンカン,香川県綾歌郡綾川町西分2213,,34.17959695,133.9565877,171.7,087-878-2703,,373877,香川県,綾川町,1,,,,,1,1,,,180,(3.3㎡/2人),制限なし,なし,
25,旧西分小学校,キュウニシブンショウガッコウ,香川県綾歌郡綾川町西分1208,,34.20427564,133.9505261,121.4,087-876-1180,,373877,香川県,綾川町,1,1,,,,1,1,,,250,(3.3㎡/2人),制限なし,なし,
26,西分公民館,ニシブンコウミンカン,香川県綾歌郡綾川町西分1377,,34.20529687,133.9512922,108.8,087-878-3065,,373877,香川県,綾川町,1,1,,1,,1,1,,1,70,(3.3㎡/2人),制限なし,なし,
27,東分地域交流館,ヒガシブンチイキコウリュウカン,香川県綾歌郡綾川町東分甲1245-1,,34.20884324,133.9597098,131.8,087-878-0299,,373877,香川県,綾川町,1,1,,1,,1,1,,,40,(3.3㎡/2人),制限なし,なし,
28,綾上中学校,アヤカミチュウガッコウ,香川県綾歌郡綾川町山田上甲1180,,34.22018859,133.9676346,92.6,087-878-2020,,373877,香川県,綾川町,1,,,1,,1,1,,1,820,(3.3㎡/2人),制限なし,なし,
29,綾上小学校,アヤカミショウガッコウ,香川県綾歌郡綾川町山田上甲1494-1,,34.2179086,133.9697294,75.7,087-878-2004,,373877,香川県,綾川町,,1,,1,,1,,,1,390,(3.3㎡/2人),制限なし,なし,
30,山田こども園,ヤマダコドモエン,香川県綾歌郡綾川町山田上甲1490,,34.21833283,133.9690828,75.3,087-878-2680,,373877,香川県,綾川町,,1,,1,,1,,,,90,(3.3㎡/2人),制限なし,なし,
31,山田公民館,ヤマダコウミンカン,香川県綾歌郡綾川町山田上甲1313-1,,34.22169843,133.9643608,70.7,087-878-2910,,373877,香川県,綾川町,1,1,,1,,1,1,,1,130,(3.3㎡/2人),制限なし,なし,
32,綾上農村環境改善センター,アヤカミノウソンカンキョウカイゼンセンター,香川県綾歌郡綾川町山田下3300,,34.2260599,133.9502015,61.8,087-878-3055,,373877,香川県,綾川町,1,1,,1,,1,1,,1,220,(3.3㎡/2人),制限なし,なし,
33,国保総合保健施設いきいきセンター,コクホソウゴウホケンシセツイキイキセンター,香川県綾歌郡綾川町山田下3352-1,,34.22532913,133.9501105,60.9,087-878-2212,,373877,香川県,綾川町,1,1,,1,,1,1,,1,60,(3.3㎡/2人),制限なし,なし,
34,Ｂ＆Ｇ綾上海洋センター,ビーアンドジーアヤカミカイヨウセンター,香川県綾歌郡綾川町山田下3694-1,,34.21764981,133.9492212,86.8,087-878-3003,,373877,香川県,綾川町,1,1,,1,,1,1,,,830,(3.3㎡/2人),制限なし,なし,
35,旧羽床上小学校,キュウハユカカミショウガッコウ,香川県綾歌郡綾川町羽床上788-1,,34.22517781,133.9288419,50.7,087-876-1180,,373877,香川県,綾川町,1,1,,,,1,1,,1,280,(3.3㎡/2人),制限なし,なし,
36,羽床上こども園,ハユカカミコドモエン,香川県綾歌郡綾川町羽床上1023-1,,34.22545906,133.9281566,50.5,087-878-1462,,373877,香川県,綾川町,1,1,,1,,1,1,,,50,(3.3㎡/2人),制限なし,なし,
37,羽床上公民館,ハユカカミコウミンカン,香川県綾歌郡綾川町羽床上797,,34.22420345,133.9290943,51.3,087-878-1481,,373877,香川県,綾川町,1,1,,1,,1,1,,1,80,(3.3㎡/2人),制限なし,なし,
