部局,出先名,郵便番号,所在地,電話番号,緯度,経度
政策部関係,東京事務所,102-0093,東京都千代田区平河町2-6-3　都道府県会館9階,03-5212-9100,35.679305,139.739096
政策部関係,小豆総合事務所,761-4121,小豆郡土庄町渕崎甲2079-5,0879-62-0321,34.485197,134.190908
政策部関係,小豆総合事務所農業改良普及課,761-4301,小豆郡小豆島町池田2519-2,0879-75-0145,34.483898,134.231139
政策部関係,小豆総合事務所家畜保健衛生室,761-4122,小豆郡土庄町上庄28-1,0879-62-0359,34.489837,134.193101
政策部関係,内海ダム管理事務所,761-4433,小豆郡小豆島町神懸通字後山甲1908,0879-82-0269,34.494826,134.298374
政策部関係,殿川ダム管理事務所,761-4303,小豆郡小豆島町中山字向條166-3,0879-75-0289,34.501048,134.248595
政策部関係,粟地ダム管理事務所,761-4411,小豆郡小豆島町安田字粟地甲1771-1,0879-82-4815,34.493356,134.321793
政策部関係,吉田ダム管理事務所,761-4401,小豆郡小豆島町吉田字川向乙92-3,0879-84-2811,34.551418,134.33367
政策部関係,漆芸研究所,760-0017,高松市番町1-10-39,087-831-1814,34.341986,134.044985
政策部関係,県立ミュージアム,760-0030,高松市玉藻町5-5,087-822-0002,34.349755,134.053232
政策部関係,県立ミュージアム分館（瀬戸内海歴史民俗資料館）,761-8001,高松市亀水町1412-2,087-881-4707,34.378224,133.930981
政策部関係,県立ミュージアム分館（文化会館）,760-0017,高松市番町1-10-39,087-831-1806,34.341986,134.044985
政策部関係,東山魁夷せとうち美術館,762-0066,坂出市沙弥島字南通224-13,0877-44-1333,34.349386,133.82419
総務部関係,文書館,761-0301,高松市林町2217-19,087-868-7171,34.293148,134.06663
総務部関係,県税事務所,760-0068,高松市松島町1-17-28,087-806-0302,34.33936,134.058875
総務部関係,中讃税務窓口センター,762-0011,坂出市江尻町1355,0877-46-0421,34.318621,133.878034
総務部関係,東讃県民センター,769-2401,さぬき市津田町津田930-2,0879-42-1370,34.289386,134.248029
総務部関係,小豆県民センター,761-4121,小豆郡土庄町渕崎甲2079-5,0879-62-2266,34.485197,134.190908
総務部関係,中讃県民センター,765-0014,善通寺市生野本町1-1-12,0877-62-9610,34.225668,133.790708
総務部関係,西讃県民センター,768-0067,観音寺市坂本町7-3-18,0875-25-5200,34.127377,133.659015
総務部関係,パスポートセンター,760-0019,高松市サンポート2-1（高松シンボルタワー　タワー棟2階）,087-825-5111,34.352507,134.04662
危機管理総局関係,消防学校,761-8002,高松市生島町689-11,087-881-3281,34.364858,133.96954
危機管理総局関係,防災センター,761-8002,高松市生島町689-11,087-881-0567,34.364858,133.96954
環境森林部関係,環境保健研究センター,760-0065,高松市朝日町5-3-105,087-825-0400,34.350195,134.074619
環境森林部関係,森林センター,769-0317,仲多度郡まんのう町新目823,0877-77-2515,34.127499,133.834735
環境森林部関係,東部林業事務所,761-0446,高松市東植田町1210-3,087-849-0444,34.241334,134.104359
環境森林部関係,西部林業事務所,766-0021,仲多度郡まんのう町四條1192-1,0877-73-2347,34.191124,133.832752
環境森林部関係,直島環境センター,761-3110,香川郡直島町2628-1,087-892-2981,34.472413,133.969744
健康福祉部関係,東讃保健福祉事務所,769-2401,さぬき市津田町津田930-2,0879-29-8250,34.289386,134.248029
健康福祉部関係,中讃保健福祉事務所,763-0082,丸亀市土器町東8-526,0877-24-9960,34.300882,133.80579
健康福祉部関係,西讃保健福祉事務所,768-0067,観音寺市坂本町7-3-18 ,0875-25-3082,34.127377,133.659015
健康福祉部関係,子ども女性相談センター,760-0004,高松市西宝町2-6-32,087-862-8861,34.340628,134.029991
健康福祉部関係,西部子ども相談センター,763-0082,丸亀市土器町東8-526 ,0877-24-3173,34.300882,133.80579
健康福祉部関係,斯道学園,760-0004,高松市西宝町2-6-9,087-861-4834,34.33982,134.029827
健康福祉部関係,障害福祉相談所,761-8057,高松市田村町1114,087-867-2696,34.306952,134.030807
健康福祉部関係,精神保健福祉センター,760-0068,高松市松島町1-17-28,087-804-5565,34.33936,134.058875
健康福祉部関係,川部みどり園,761-8046,高松市川部町418,087-885-8600,34.272341,134.008559
健康福祉部関係,保健医療大学,761-0123,高松市牟礼町原281-1,087-870-1212,34.321816,134.157752
健康福祉部関係,食肉衛生検査所,762-0011,坂出市江尻町1355,0877-45-5132,34.318621,133.878034
商工労働部関係,大阪事務所,542-0083,大阪府大阪市中央区東心斎橋1-18-24　クロスシティ心斎橋4階,06-6281-1661,34.674114,135.502492
商工労働部関係,産業技術センター,761-8031,高松市郷東町587-1,087-881-3175,34.351421,134.019507
商工労働部関係,産業技術センター発酵食品研究所,761-4421,小豆郡小豆島町苗羽甲1351-1,0879-82-0034,34.469517,134.320884
商工労働部関係,計量検定所,761-8031,高松市郷東町587-1,087-881-2517,34.350271,134.020585
商工労働部関係,高等技術学校（高松校舎）,761-8031,高松市郷東町587-1,087-881-3171,34.351274,134.020475
商工労働部関係,高等技術学校（丸亀校舎）,763-8513,丸亀市港町307,0877-22-2633,34.298332,133.793703
交流推進部関係,栗林公園観光事務所,760-0073,高松市栗林町1-20-16,087-833-7411,34.329844,134.045517
交流推進部関係,香川・愛媛せとうち旬彩館 ,105-0004,東京都港区新橋2-19-10　新橋マリンビル1・2階,03-3574-1103,35.666907,139.759376
農政水産部関係,農業試験場　,761-2306,綾歌郡綾川町北1534-1,087-814-7311,34.232044,133.93549
農政水産部関係,農業試験場府中果樹研究所,762-0024,坂出市府中町6117-1,0877-48-0731,34.300998,133.936196
農政水産部関係,農業試験場小豆オリーブ研究所,761-4301,小豆郡小豆島町池田2519-2,0879-75-0033,34.483885,134.231107
農政水産部関係,園芸総合センター,761-1401,高松市香南町岡1164-1,087-879-7355,34.2234,134.017536
農政水産部関係,農業試験場病害虫防除所,761-2306,綾歌郡綾川町北1534−1（農業試験場内）,087-814-7317,34.232044,133.93549
農政水産部関係,東讃農業改良普及センター,769-2401,さぬき市津田町津田930-2,0879-42-0190,34.289408,134.248051
農政水産部関係,中讃農業改良普及センター,765-0014,善通寺市生野本町1-1-12,0877-62-1022,34.225649,133.790699
農政水産部関係,西讃農業改良普及センター,769-1503,三豊市豊中町笠田竹田438-1,0875-62-3075,34.152933,133.697836
農政水産部関係,農業大学校,766-0004,仲多度郡琴平町榎井34-3,0877-75-1141,34.191098,133.83115
農政水産部関係,畜産試験場,761-0704,木田郡三木町大字下高岡2706,087-898-1511,34.270559,134.145126
農政水産部関係,東部家畜保健衛生所,761-0701,木田郡三木町大字池戸3196,087-898-1121,34.275475,134.118939
農政水産部関係,西部家畜保健衛生所,765-0022,善通寺市稲木町9-2,0877-62-0020,34.237772,133.786819
農政水産部関係,西部家畜保健衛生所西讃支所,769-1503,三豊市豊中町笠田竹田438-1,0875-62-6109,34.152943,133.697869
農政水産部関係,東讃土地改良事務所,761-8076,高松市多肥上町1251-1,087-889-0191,34.293774,134.056608
農政水産部関係,中讃土地改良事務所,765-0014,善通寺市生野本町1-1-12,0877-62-0752,34.225668,133.790708
農政水産部関係,西讃土地改良事務所,768-0067,観音寺市坂本町7-3-18,0875-25-4086,34.127377,133.659015
農政水産部関係,水産試験場,761-0111,高松市屋島東町75-5,087-843-6511,34.366723,134.110867
農政水産部関係,水産試験場栽培漁業センター,761-0111,高松市屋島東町75-4,087-843-6511,34.36645,134.111013
農政水産部関係,赤潮研究所,761-0111,高松市屋島東町75-5,087-843-6511,34.366902,134.110785
土木部関係,長尾土木事務所,769-2301,さぬき市長尾東1538-1,0879-52-2585,34.265333,134.18427
土木部関係,高松土木事務所,761-8076,高松市多肥上町1251-1,087-889-8901,34.293774,134.056608
土木部関係,中讃土木事務所,762-0011,坂出市江尻町1355,0877-46-3178,34.318621,133.878034
土木部関係,西讃土木事務所,768-0067,観音寺市坂本町7-3-18,0875-25-1001,34.127377,133.659015
土木部関係,椛川ダム建設事務所,761-1612,高松市塩江町安原上東1364,087-893-0266,34.171421,134.098495
土木部関係,千足ダム管理事務所,769-2906,東かがわ市川股字千足989,0879-33-3086,34.18965,134.389196
土木部関係,五名ダム管理事務所,769-2715,東かがわ市五名223-9,0879-29-2006,34.200942,134.266935
土木部関係,大内ダム管理事務所,769-2606,東かがわ市水主2046,0879-25-2573,34.222292,134.296093
土木部関係,大川ダム管理事務所,761-0904,さぬき市大川町田面2940-1,0879-43-3104,34.235728,134.248808
土木部関係,門入ダム管理事務所,769-2321,さぬき市寒川町石田東甲2563-7,0879-43-0995,34.248654,134.22011
土木部関係,前山ダム管理事務所,769-2305,さぬき市前山957-6,0879-52-3450,34.222627,134.172675
土木部関係,内場ダム管理事務所,761-1614,高松市塩江町上西字内場乙1339,087-893-0023,34.168398,134.073305
土木部関係,長柄ダム管理事務所,761-2205,綾歌郡綾川町東分乙591-4,087-878-2301,34.195502,133.959821
土木部関係,田万ダム管理事務所,761-2201,綾歌郡綾川町枌所東字桜谷1554-34,087-878-2897,34.199101,133.996006
土木部関係,五郷ダム管理事務所,769-1624,観音寺市大野原町有木53,0875-54-2132,34.043674,133.696346
土木部関係,粟井ダム管理事務所,768-0052,観音寺市粟井町坂瀬4658-8,0875-57-1255,34.065442,133.727501
土木部関係,高松港管理事務所,760-0019,高松市サンポート1-1,087-851-3442,34.35274,134.048096
水道局関係,県営水道事務所,762-0024,坂出市府中町1265-1,0877-48-0511,34.28525,133.920562
水道局関係,西部浄水場,767-0021,三豊市高瀬町佐股甲2366,0875-74-6411,34.152594,133.735913
水道局関係,中部浄水場,766-0007,仲多度郡琴平町下櫛梨111-1,0877-75-1117,34.219107,133.816017
水道局関係,綾川浄水場,762-0024,坂出市府中町1260,0877-48-1150,34.284593,133.919667
水道局関係,東部浄水場,761-8047,高松市岡本町631-10,087-886-3337,34.264419,133.995959
病院局関係,中央病院,760-8557,高松市朝日町1-2-1,087-811-3333,34.348663,134.062362
病院局関係,丸亀病院,763-8518,丸亀市土器町東9-291,0877-22-2131,34.300941,133.808345
病院局関係,白鳥病院,769-2788,東かがわ市松原963,0879-25-4154,34.241872,134.369857
警察関係,東かがわ警察署,769-2601,東かがわ市三本松1723-2,0879-25-0110,34.24862,134.340115
警察関係,さぬき警察署,769-2101,さぬき市志度1028-1,087-894-0110,34.320619,134.182349
警察関係,高松東警察署,761-0702,木田郡三木町大字平木56-4,087-898-0110,34.270392,134.128816
警察関係,小豆警察署,761-4421,小豆郡小豆島町苗羽甲1351-1,0879-82-0110,34.469404,134.320668
警察関係,高松北警察署,760-8511,高松市西内町2-30,087-811-0110,34.348349,134.047172
警察関係,高松南警察署,761-8511,高松市多肥上町1251-8,087-868-0110,34.294159,134.055535
警察関係,坂出警察署,762-0011,坂出市江尻町1204-1,0877-46-0110,34.317156,133.872032
警察関係,高松西警察署,761-2305,綾歌郡綾川町滝宮1332-1,087-876-0110,34.251404,133.919904
警察関係,丸亀警察署,763-0071,丸亀市新田町１−７,0877-22-0110,34.266667,133.790611
警察関係,琴平警察署,766-0003,仲多度郡琴平町五條620-1,0877-75-0110,34.188867,133.829542
警察関係,三豊警察署,767-0011,三豊市高瀬町下勝間2516-4,0875-72-0110,34.178952,133.716559
警察関係,観音寺警察署,768-0066,観音寺市昭和町2-1-55,0875-25-0110,34.121945,133.657597
教育委員会関係,教育センター,761-8031,高松市郷東町587-1,087-813-0955,34.352197,134.018955
教育委員会関係,東部教育事務所,760-0068,高松市松島町1-17-28,087-837-8778,34.33936,134.058875
教育委員会関係,東部教育事務所小豆分室,761-4121,小豆郡土庄町渕崎甲2079-5,0879-62-0324,34.485197,134.190908
教育委員会関係,西部教育事務所,765-0014,善通寺市生野本町1-1-12,0877-62-0754,34.225668,133.790708
教育委員会関係,県立図書館,761-0393,高松市林町2217-19,087-868-0567,34.293148,134.06663
教育委員会関係,県立屋島少年自然の家,761-0111,高松市屋島東町34-1,087-843-4545,34.368488,134.108838
教育委員会関係,県立五色台少年自然センター,761-8002,高松市生島町423,087-881-4428,34.348678,133.957832
教育委員会関係,県立五色台少年自然センター自然科学館（分館）,762-0014,坂出市王越町木沢1901-2,0877-42-0034,34.377801,133.928121
教育委員会関係,埋蔵文化財センター,762-0024,坂出市府中町字南谷5001-4,0877-48-2191,34.29095,133.916258
その他(指定管理者施設),ｅ−とぴあ・かがわ（情報通信交流館）,760-0019,高松市サンポート2-1,087-822-0111,34.352455,134.046667
その他(指定管理者施設),アルファあなぶきホール（県民ホール）,760-0030,高松市玉藻町9-10,087-823-3131,34.351019,134.053482
その他(指定管理者施設),青年センター,769-0102,高松市国分寺町国分1009,087-874-0713,34.299359,133.942132
その他(指定管理者施設),香川国際交流会館（アイパル香川）,760-0017,高松市番町1-11-63,087-837-5908,34.341996,134.046002
その他(指定管理者施設),香川県公渕森林公園,761-0446,高松市東植田町字寺峰1210-3,087-849-0402,34.240598,134.107889
その他(指定管理者施設),ドングリランド,761-0445,高松市西植田町6082-2,087-840-4072,34.219062,134.074681
その他(指定管理者施設),香川県満濃池森林公園,769-0303,仲多度郡まんのう町七箇字三田4109-24,0877-78-3364,34.15854,133.864838
その他(指定管理者施設),大滝山キャンプ場（県民いこいの森野営場）,761-1613,高松市塩江町上西甲小出川2326−14他,087-893-0345,34.121471,134.098459
その他(指定管理者施設),大川山キャンプ場（大川山野営場）,766-0202,仲多度郡まんのう町中通名頃1156-162,0877-84-2165,34.1149,133.941656
その他(指定管理者施設),香川県社会福祉総合センター,760-0017,高松市番町1-10-35,087-835-3334,34.341379,134.044889
その他(指定管理者施設),さぬきこどもの国,761-1402,高松市香南町由佐3209,087-879-0500,34.21225,134.016406
その他(指定管理者施設),香川県視覚障害者福祉センター,760-001７,高松市番町1-10-35　香川県社会福祉総合センター4階,087-812-5563,34.341379,134.044889
その他(指定管理者施設),香川県障害者支援施設たまも園,761-8057,高松市田村町797 ,087-866-2611,34.307088,134.029579
その他(指定管理者施設),香川県聴覚障害者福祉センター,761-8074,高松市太田上町405-1,087-868-9200,34.296437,134.040827
その他(指定管理者施設),香川県ふじみ園,762-0081,丸亀市飯山町東坂元3667,0877-98-3125,34.268665,133.880938
その他(指定管理者施設),かがわ総合リハビリテーションセンター,761-8057,高松市田村町1114,087-867-6008,34.306952,134.030807
その他(指定管理者施設),香川県新規産業創出支援センター（ネクスト香川）,761-0301,高松市林町2217-44（香川インテリジェントパーク内）,087-864-5311,34.29389,134.072593
その他(指定管理者施設),香川県科学技術研究センター（ＦＲＯＭ香川）,761-0301,高松市林町2217-16（香川インテリジェントパーク内）,087-869-3700,34.293828,134.07207
その他(指定管理者施設),サンメッセ香川（産業交流センター）,761-0301,高松市林町2217-1,087-869-3333,34.295375,134.071366
その他(指定管理者施設),坂出緩衝緑地　番の州地区,762-0063,坂出市番の州公園5,0877-45-6820,34.324359,133.832376
その他(指定管理者施設),瀬戸大橋記念公園,762-0065,坂出市番の州緑町6-13,0877-45-2344,34.352695,133.826131
その他(指定管理者施設),女木島野営場,760-0092,高松市女木町字中戸1098-1,087-873-0728,34.405546,134.054702
その他(指定管理者施設),番の州球場,762-0063,坂出市番の州公園5,0877-44-5025,34.325383,133.831697
その他(指定管理者施設),粟島海洋記念公園,769-1108,三豊市詫間町粟島1541,0875-84-7884,34.268349,133.630842
その他(指定管理者施設),サンポート高松　かがわ国際会議場,760-0019,高松市サンポート2-1（高松シンボルタワー　タワー棟6・7階）,087-825-5120,34.352461,134.046577
その他(指定管理者施設),サンポート高松　展示場,760-0019,高松市サンポート2-1（高松シンボルタワー　ホール棟１階）,087-825-5120,34.353029,134.046815
その他(指定管理者施設),サンポート高松　かがわプラザ（観光情報センター）,760-0019,高松市サンポート2-1（高松シンボルタワー　タワー棟3階）,087-825-5125,34.352475,134.046629
その他(指定管理者施設),小豆島オリーブ公園,761-4434,小豆郡小豆島町西村甲1941-1,0879-82-2200,34.473573,134.272873
その他(指定管理者施設),香川用水記念公園,769-0402,三豊市財田町財田中2355 ,0875-67-3760,34.099597,133.765117
その他(指定管理者施設),さぬき空港公園,761-1402,高松市香南町由佐2953-1,087-879-8510,34.219252,134.012083
その他(指定管理者施設),香東川公園,761-8044,高松市円座町835,087-886-0779,34.294797,134.012744
その他(指定管理者施設),土器川公園,763-0092,丸亀市川西町南字岸の上甲978,0877-24-6251,34.250941,133.835212
その他(指定管理者施設),香川県立武道館,760-0066,丸亀市福岡町1-5-5,087-821-5125,34.347039,134.06307
その他(指定管理者施設),香川県立丸亀競技場,763-0053,丸亀市金倉町830,0877-21-5800,34.261763,133.786121
その他(指定管理者施設),香川県立総合水泳プール,761-8042,高松市御厩町1585-1,087-885-3821,34.308584,133.98067
その他(指定管理者施設),香川県総合運動公園,761-8002,高松市生島町614,087-881-0354,34.363621,133.959806
